Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     59.99     0.00      279     0.00     0.00  node_set_prev
  0.00     59.99     0.00      272     0.00     0.00  lv_obj_enable_style_refresh
  0.00     59.99     0.00      266     0.00     0.00  refresh_children_style
  0.00     59.99     0.00      260     0.00     0.00  compute_key
  0.00     59.99     0.00      237     0.00     0.00  _lv_ll_get_tail
  0.00     59.99     0.00      205     0.00     0.00  lv_style_init
  0.00     59.99     0.00      196     0.00     0.56  lv_obj_add_style
  0.00     59.99     0.00      191     0.00     0.00  anim_mark_list_change
  0.00     59.99     0.00      187     0.00     0.60  lv_label_set_text_fmt
  0.00     59.99     0.00      163     0.00     0.00  lv_obj_get_local_style_prop
  0.00     59.99     0.00      130     0.00     0.00  get_instance_size
  0.00     59.99     0.00      130     0.00     0.01  iterate_cache
  0.00     59.99     0.00      130     0.00     0.00  lv_group_get_default
  0.00     59.99     0.00      130     0.00     0.45  lv_obj_construct
  0.00     59.99     0.00      130     0.00     0.04  lv_obj_constructor
  0.00     59.99     0.00      130     0.00     0.04  lv_theme_get_from_obj
  0.00     59.99     0.00      102     0.00     0.02  _lv_ll_ins_head
  0.00     59.99     0.00      102     0.00     0.57  fade_anim_cb
  0.00     59.99     0.00      102     0.00     0.57  lv_obj_set_style_opa
  0.00     59.99     0.00      100     0.00     0.00  lv_event_set_ext_draw_size
  0.00     59.99     0.00       98     0.00     0.01  lv_obj_allocate_spec_attr
  0.00     59.99     0.00       96     0.00     0.00  _lv_ll_remove
  0.00     59.99     0.00       87     0.00     0.37  anim_ready_handler
  0.00     59.99     0.00       80     0.00     0.00  _atoi
  0.00     59.99     0.00       75     0.00     0.74  calc
  0.00     59.99     0.00       75     0.00     0.21  calc_cols
  0.00     59.99     0.00       75     0.00     0.00  calc_free
  0.00     59.99     0.00       75     0.00     0.03  lv_obj_add_flag
  0.00     59.99     0.00       71     0.00     0.00  style_init_reset
  0.00     59.99     0.00       68     0.00     3.41  lv_obj_set_grid_cell
  0.00     59.99     0.00       68     0.00     0.57  lv_obj_set_style_grid_cell_column_pos
  0.00     59.99     0.00       68     0.00     0.57  lv_obj_set_style_grid_cell_column_span
  0.00     59.99     0.00       68     0.00     0.57  lv_obj_set_style_grid_cell_row_pos
  0.00     59.99     0.00       68     0.00     0.57  lv_obj_set_style_grid_cell_row_span
  0.00     59.99     0.00       68     0.00     0.57  lv_obj_set_style_grid_cell_x_align
  0.00     59.99     0.00       68     0.00     0.57  lv_obj_set_style_grid_cell_y_align
  0.00     59.99     0.00       67     0.00     0.00  lv_area_get_height
  0.00     59.99     0.00       64     0.00     0.00  lv_anim_init
  0.00     59.99     0.00       57     0.00     0.02  lv_obj_get_index
  0.00     59.99     0.00       57     0.00     0.57  lv_obj_set_style_x
  0.00     59.99     0.00       54     0.00     1.94  auto_step_cb
  0.00     59.99     0.00       52     0.00     0.93  lv_label_constructor
  0.00     59.99     0.00       52     0.00     2.67  lv_label_create
  0.00     59.99     0.00       52     0.00     0.42  lv_label_set_long_mode
  0.00     59.99     0.00       47     0.00     0.08  lv_img_constructor
  0.00     59.99     0.00       47     0.00     2.67  lv_img_create
  0.00     59.99     0.00       43     0.00     0.01  lv_anim_path_ease_out
  0.00     59.99     0.00       41     0.00     0.00  _lv_ll_get_prev
  0.00     59.99     0.00       40     0.00     0.34  lv_bar_set_value
  0.00     59.99     0.00       39     0.00     0.00  lv_area_get_width
  0.00     59.99     0.00       38     0.00     0.57  lv_obj_set_style_width
  0.00     59.99     0.00       38     0.00     0.57  lv_obj_set_width
  0.00     59.99     0.00       35     0.00     0.00  _lv_demo_music_get_title
  0.00     59.99     0.00       35     0.00     0.38  lv_bar_set_value_with_anim
  0.00     59.99     0.00       34     0.00     0.57  lv_obj_set_style_y
  0.00     59.99     0.00       34     0.00     0.57  lv_obj_set_y
  0.00     59.99     0.00       33     0.00     0.01  lv_anim_path_overshoot
  0.00     59.99     0.00       33     0.00     0.04  lv_bar_anim_ready
  0.00     59.99     0.00       33     0.00     0.94  timer_cb
  0.00     59.99     0.00       32     0.00     0.54  _obj_set_x_anim_cb
  0.00     59.99     0.00       30     0.00     1.11  lv_obj_set_pos
  0.00     59.99     0.00       30     0.00     0.57  lv_obj_set_style_align
  0.00     59.99     0.00       29     0.00     2.67  lv_obj_create
  0.00     59.99     0.00       29     0.00     0.55  lv_obj_set_height
  0.00     59.99     0.00       28     0.00     0.09  find_track_end
  0.00     59.99     0.00       28     0.00     0.57  lv_obj_set_style_height
  0.00     59.99     0.00       28     0.00     0.00  place_content
  0.00     59.99     0.00       26     0.00     0.01  lv_style_set_bg_opa
